surah_ayah	position	string	meaning	ayah_link
21:49	7	l-sāʿati	the Hour	 الَّذِينَ يَخْشَوْنَ رَبَّهُمْ بِالْغَيْبِ وَهُمْ مِنَ السَّاعَةِ مُشْفِقُونَ
22:1	7	l-sāʿati	(of) the Hour	 يَا أَيُّهَا النَّاسُ اتَّقُوا رَبَّكُمْ إِنَّ زَلْزَلَةَ السَّاعَةِ شَيْءٌ عَظِيمٌ
22:7	2	l-sāʿata	the Hour	 وَأَنَّ السَّاعَةَ آتِيَةٌ لَا رَيْبَ فِيهَا وَأَنَّ اللَّهَ يَبْعَثُ مَنْ فِي الْقُبُورِ
22:55	10	l-sāʿatu	the Hour	 وَلَا يَزَالُ الَّذِينَ كَفَرُوا فِي مِرْيَةٍ مِنْهُ حَتَّىٰ تَأْتِيَهُمُ السَّاعَةُ بَغْتَةً
25:11	3	bil-sāʿati	the Hour	 بَلْ كَذَّبُوا بِالسَّاعَةِ
25:11	7	bil-sāʿati	the Hour	 وَأَعْتَدْنَا لِمَنْ كَذَّبَ بِالسَّاعَةِ سَعِيرًا
30:12	3	l-sāʿatu	the Hour	 وَيَوْمَ تَقُومُ السَّاعَةُ يُبْلِسُ الْمُجْرِمُونَ
30:14	3	l-sāʿatu	the Hour	 وَيَوْمَ تَقُومُ السَّاعَةُ يَوْمَئِذٍ يَتَفَرَّقُونَ
30:55	3	l-sāʿatu	the Hour	 وَيَوْمَ تَقُومُ السَّاعَةُ
30:55	9	sāʿatin	an hour	 يُقْسِمُ الْمُجْرِمُونَ مَا لَبِثُوا غَيْرَ سَاعَةٍ
31:34	5	l-sāʿati	(of) the Hour	 إِنَّ اللَّهَ عِنْدَهُ عِلْمُ السَّاعَةِ وَيُنَزِّلُ الْغَيْثَ وَيَعْلَمُ مَا فِي الْأَرْحَامِ
33:63	4	l-sāʿati	the Hour	 يَسْأَلُكَ النَّاسُ عَنِ السَّاعَةِ قُلْ إِنَّمَا عِلْمُهَا عِنْدَ اللَّهِ
33:63	13	l-sāʿata	the Hour	 وَمَا يُدْرِيكَ لَعَلَّ السَّاعَةَ تَكُونُ قَرِيبًا
34:3	6	l-sāʿatu	the Hour	 وَقَالَ الَّذِينَ كَفَرُوا لَا تَأْتِينَا السَّاعَةُ
34:30	8	sāʿatan	(for) an hour	 قُلْ لَكُمْ مِيعَادُ يَوْمٍ لَا تَسْتَأْخِرُونَ عَنْهُ سَاعَةً وَلَا تَسْتَقْدِمُونَ
40:46	8	l-sāʿatu	the Hour	 وَيَوْمَ تَقُومُ السَّاعَةُ أَدْخِلُوا آلَ فِرْعَوْنَ أَشَدَّ الْعَذَابِ
40:59	2	l-sāʿata	the Hour	 إِنَّ السَّاعَةَ لَآتِيَةٌ لَا رَيْبَ فِيهَا وَلَٰكِنَّ أَكْثَرَ النَّاسِ لَا يُؤْمِنُونَ
41:47	4	l-sāʿati	(of) the Hour	 إِلَيْهِ يُرَدُّ عِلْمُ السَّاعَةِ
41:50	14	l-sāʿata	the Hour	 وَمَا أَظُنُّ السَّاعَةَ قَائِمَةً وَلَئِنْ رُجِعْتُ إِلَىٰ رَبِّي إِنَّ لِي عِنْدَهُ لَلْحُسْنَىٰ
42:17	10	l-sāʿata	the Hour	 وَمَا يُدْرِيكَ لَعَلَّ السَّاعَةَ قَرِيبٌ
42:18	19	l-sāʿati	the Hour	 أَلَا إِنَّ الَّذِينَ يُمَارُونَ فِي السَّاعَةِ لَفِي ضَلَالٍ بَعِيدٍ
43:61	3	lilssāʿati	of the Hour	 وَإِنَّهُ لَعِلْمٌ لِلسَّاعَةِ فَلَا تَمْتَرُنَّ بِهَا وَاتَّبِعُونِ
43:66	4	l-sāʿata	(for) the Hour	 هَلْ يَنْظُرُونَ إِلَّا السَّاعَةَ أَنْ تَأْتِيَهُمْ بَغْتَةً وَهُمْ لَا يَشْعُرُونَ
43:85	11	l-sāʿati	(of) the Hour	 وَعِنْدَهُ عِلْمُ السَّاعَةِ وَإِلَيْهِ تُرْجَعُونَ
45:27	7	l-sāʿatu	the Hour	 وَيَوْمَ تَقُومُ السَّاعَةُ يَوْمَئِذٍ يَخْسَرُ الْمُبْطِلُونَ
45:32	7	wal-sāʿatu	and the Hour 	 وَإِذَا قِيلَ إِنَّ وَعْدَ اللَّهِ حَقٌّ وَالسَّاعَةُ لَا رَيْبَ فِيهَا
45:32	15	l-sāʿatu	the Hour (is)	 قُلْتُمْ مَا نَدْرِي مَا السَّاعَةُ إِنْ نَظُنُّ إِلَّا ظَنًّا وَمَا نَحْنُ بِمُسْتَيْقِنِينَ
46:35	19	sāʿatan	an hour	 كَأَنَّهُمْ يَوْمَ يَرَوْنَ مَا يُوعَدُونَ لَمْ يَلْبَثُوا إِلَّا سَاعَةً مِنْ نَهَارٍ
47:18	4	l-sāʿata	(for) the Hour	 فَهَلْ يَنْظُرُونَ إِلَّا السَّاعَةَ أَنْ تَأْتِيَهُمْ بَغْتَةً
54:1	2	l-sāʿatu	the Hour	 اقْتَرَبَتِ السَّاعَةُ وَانْشَقَّ الْقَمَرُ
54:46	2	l-sāʿatu	the Hour	 بَلِ السَّاعَةُ مَوْعِدُهُمْ
54:46	4	wal-sāʿatu	and the Hour	 وَالسَّاعَةُ أَدْهَىٰ وَأَمَرُّ
71:23	9	suwāʿan	Suwa	 وَلَا تَذَرُنَّ وَدًّا وَلَا سُوَاعًا وَلَا يَغُوثَ
79:42	3	l-sāʿati	the Hour	 يَسْأَلُونَكَ عَنِ السَّاعَةِ أَيَّانَ مُرْسَاهَا
